Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,0.9099999999999999,0.31,0.27369343143273267
100% Corpus,7,0.9099999999999999,0.61,0.2802578413381753
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.2848448965359897
100% Corpus,7,0.9099999999999999,symmetric,0.27534021304710193
100% Corpus,7,symmetric,0.01,0.2723667929308437
100% Corpus,7,symmetric,0.31,0.2673086859982909
100% Corpus,7,symmetric,0.61,0.2808989023943329
100% Corpus,7,symmetric,0.9099999999999999,0.2789438346433514
100% Corpus,7,symmetric,symmetric,0.2761265677325534
100% Corpus,7,asymmetric,0.01,0.27194003593386973
100% Corpus,7,asymmetric,0.31,0.27362226162801
100% Corpus,7,asymmetric,0.61,0.2771940140333013
100% Corpus,7,asymmetric,0.9099999999999999,0.2708874728127164
100% Corpus,7,asymmetric,symmetric,0.27584810187780157
100% Corpus,8,0.01,0.01,0.27263551549936965
100% Corpus,8,0.01,0.31,0.27866325489100724
100% Corpus,8,0.01,0.61,0.2727365842562153
100% Corpus,8,0.01,0.9099999999999999,0.3552536948980134
100% Corpus,8,0.01,symmetric,0.2836114257477307
100% Corpus,8,0.31,0.01,0.27784678347043024
100% Corpus,8,0.31,0.31,0.28078735842846936
100% Corpus,8,0.31,0.61,0.27280452375838393
100% Corpus,8,0.31,0.9099999999999999,0.35550565699579767
100% Corpus,8,0.31,symmetric,0.28371434313286836
100% Corpus,8,0.61,0.01,0.27784678347043024
100% Corpus,8,0.61,0.31,0.27800950904907795
100% Corpus,8,0.61,0.61,0.27249929189192745
100% Corpus,8,0.61,0.9099999999999999,0.35696941320633246
100% Corpus,8,0.61,symmetric,0.27992860518838714
100% Corpus,8,0.9099999999999999,0.01,0.27787246505653473
100% Corpus,8,0.9099999999999999,0.31,0.28080570986404424
100% Corpus,8,0.9099999999999999,0.61,0.27121011589479804
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3588255106007794
100% Corpus,8,0.9099999999999999,symmetric,0.2784118858798806
100% Corpus,8,symmetric,0.01,0.27263551549936965
100% Corpus,8,symmetric,0.31,0.27544865497724447
100% Corpus,8,symmetric,0.61,0.27280452375838393
100% Corpus,8,symmetric,0.9099999999999999,0.3560235174496088
100% Corpus,8,symmetric,symmetric,0.28371434313286836
100% Corpus,8,asymmetric,0.01,0.27263551549936965
100% Corpus,8,asymmetric,0.31,0.2830133938971745
100% Corpus,8,asymmetric,0.61,0.27101884773543183
100% Corpus,8,asymmetric,0.9099999999999999,0.3645621563132223
100% Corpus,8,asymmetric,symmetric,0.27749214623260093
100% Corpus,9,0.01,0.01,0.2611798523489125
100% Corpus,9,0.01,0.31,0.321326401417496
100% Corpus,9,0.01,0.61,0.26797688653941304
100% Corpus,9,0.01,0.9099999999999999,0.3351721437674661
100% Corpus,9,0.01,symmetric,0.25787585674546487
100% Corpus,9,0.31,0.01,0.26034870516412145
